Fecha,Precio
"17/3/2022,3826.89;"
"16/3/2022,3836.56;"
"15/3/2022,3800.85;"
"14/3/2022,3827.64;"
"11/3/2022,3786;"
"10/3/2022,3746.43;"
"9/3/2022,3787.18;"
"8/3/2022,3813.41;"
"7/3/2022,3806.11;"
"4/3/2022,3771.77;"
"3/3/2022,3862.95;"
"2/3/2022,3901.62;"
"1/3/2022,3910.28;"
"28/2/2022,3910.64;"
"25/2/2022,3940.2;"
"24/2/2022,3913.79;"
"23/2/2022,3932.4;"
"22/2/2022,3927.25;"
"18/2/2022,3953.26;"
"17/2/2022,3963.72;"
"16/2/2022,3946.88;"
"15/2/2022,3938.97;"
"14/2/2022,3917.52;"
"11/2/2022,3917.75;"
"10/2/2022,3939.31;"
"9/2/2022,3965.41;"
"8/2/2022,3963.84;"
"7/2/2022,3962.68;"
"4/2/2022,3951.96;"
"3/2/2022,3928.05;"
"2/2/2022,3923.61;"
"1/2/2022,3942.73;"
"31/1/2022,3982.6;"
"28/1/2022,3944.04;"
"27/1/2022,3947.83;"
"26/1/2022,3987.32;"
"25/1/2022,3977.51;"
"24/1/2022,3964.3;"
"21/1/2022,3980.8;"
"20/1/2022,4003.95;"
"19/1/2022,4033.37;"
"18/1/2022,3993.65;"
"14/1/2022,3950.4;"
"13/1/2022,3970.08;"
"12/1/2022,4011.65;"
"11/1/2022,4043.46;"
"7/1/2022,4039.31;"
"6/1/2022,4042.36;"
"5/1/2022,4084.11;"
"4/1/2022,4082.75;"
"3/1/2022,3981.16;"
"30/12/2021,4023.68;"
"29/12/2021,4004;"
"28/12/2021,3989.41;"
"27/12/2021,3994.15;"
"24/12/2021,3997.09;"
"23/12/2021,3997.71;"
"22/12/2021,3996.28;"
"21/12/2021,4002.12;"
"20/12/2021,3999.85;"
"17/12/2021,4002.97;"
"16/12/2021,3990.27;"
"15/12/2021,3936.41;"
"14/12/2021,3886.87;"
"13/12/2021,3887.71;"
"10/12/2021,3899.87;"
"9/12/2021,3906.1;"
"7/12/2021,3944;"
"6/12/2021,3948.33;"
"3/12/2021,3945.18;"
"2/12/2021,3953.26;"
"1/12/2021,4004.54;"
"1/12/2021,4004.54;"
"30/11/2021,4010.98;"
"29/11/2021,4008.13;"
"26/11/2021,3969.49;"
"24/11/2021,3944.37;"
"23/11/2021,3913.26;"
"22/11/2021,3923.53;"
"19/11/2021,3943.43;"
"18/11/2021,3907.95;"
"17/11/2021,3898.84;"
"16/11/2021,3888.53;"
"12/11/2021,3875.38;"
"10/11/2021,3876.86;"
"9/11/2021,3874.41;"
"8/11/2021,3881.76;"
"5/11/2021,3847.4;"
"4/11/2021,3837.84;"
"3/11/2021,3778.69;"
"2/11/2021,3784.44;"
"29/10/2021,3766.1;"
"28/10/2021,3761.21;"
"27/10/2021,3774.46;"
"26/10/2021,3769.98;"
"25/10/2021,3780.38;"
"22/10/2021,3783.3;"
"21/10/2021,3770.58;"
"20/10/2021,3766.94;"
"19/10/2021,3772.49;"
"15/10/2021,3755.29;"
"14/10/2021,3725.75;"
"13/10/2021,3738.48;"
"12/10/2021,3765.8;"
"8/10/2021,3772.44;"
"7/10/2021,3788.03;"
"6/10/2021,3796.3;"
"5/10/2021,3786.05;"
"4/10/2021,3781.35;"
"1/10/2021,3812.77;"
"30/9/2021,3834.68;"
"29/9/2021,3841.94;"
"28/9/2021,3837.91;"
"27/9/2021,3844.88;"
"24/9/2021,3835.67;"
"23/9/2021,3834.66;"
"22/9/2021,3843.77;"
"21/9/2021,3851.22;"
"20/9/2021,3828.18;"
"17/9/2021,3818.16;"
"16/9/2021,3825.36;"
"15/9/2021,3830.83;"
"14/9/2021,3835.27;"
"13/9/2021,3836.85;"
"10/9/2021,3829.72;"
"9/9/2021,3816.14;"
"8/9/2021,3812.76;"
"7/9/2021,3790.04;"
"3/9/2021,3780.85;"
"2/9/2021,3753.3;"
"1/9/2021,3774;"
"31/8/2021,3806.87;"
"30/8/2021,3834.13;"
"27/8/2021,3870.57;"
"26/8/2021,3865.04;"
"25/8/2021,3861.88;"
"24/8/2021,3867.73;"
"23/8/2021,3874.95;"
"20/8/2021,3876.08;"
"19/8/2021,3861.33;"
"18/8/2021,3868.41;"
"17/8/2021,3830.25;"
"13/8/2021,3887.07;"
"12/8/2021,3950.43;"
"11/8/2021,3979.8;"
"10/8/2021,3988.27;"
"9/8/2021,3949.33;"
"6/8/2021,3910.81;"
"5/8/2021,3911.36;"
"4/8/2021,3913.59;"
"3/8/2021,3865.46;"
"2/8/2021,3867.88;"
"30/7/2021,3836.95;"
"29/7/2021,3902.18;"
"28/7/2021,3918.49;"
"27/7/2021,3904.17;"
"26/7/2021,3874.44;"
"23/7/2021,3866.86;"
"22/7/2021,3855.68;"
"21/7/2021,3842.97;"
"19/7/2021,3808.46;"
"16/7/2021,3809.07;"
"15/7/2021,3796.07;"
"14/7/2021,3826.85;"
"13/7/2021,3824.08;"
"12/7/2021,3829.46;"
"9/7/2021,3850.46;"
"8/7/2021,3815.22;"
"8/7/2021,3815.22;"
"7/7/2021,3782.27;"
"6/7/2021,3777.17;"
"2/7/2021,3775.53;"
"1/7/2021,3748.5;"
"30/6/2021,3756.67;"
"29/6/2021,3713.17;"
"28/6/2021,3739.03;"
"25/6/2021,3770.35;"
"24/6/2021,3773.11;"
"23/6/2021,3784.45;"
"22/6/2021,3758.08;"
"21/6/2021,3753.77;"
"18/6/2021,3730.45;"
"17/6/2021,3690.56;"
"16/6/2021,3693.35;"
"15/6/2021,3626.02;"
"11/6/2021,3589.86;"
"10/6/2021,3588.41;"
"9/6/2021,3597.18;"
"8/6/2021,3609.2;"
"4/6/2021,3657.41;"
"3/6/2021,3642.29;"
"2/6/2021,3671.38;"
"1/6/2021,3715.28;"
"28/5/2021,3729.02;"
"27/5/2021,3747.48;"
"26/5/2021,3735.41;"
"25/5/2021,3750.66;"
"24/5/2021,3738.19;"
"21/5/2021,3721.57;"
"20/5/2021,3682.66;"
"19/5/2021,3655.74;"
"18/5/2021,3682.84;"
"14/5/2021,3728.09;"
"13/5/2021,3734.09;"
"12/5/2021,3703.2;"
"11/5/2021,3714.94;"
"10/5/2021,3765.33;"
"7/5/2021,3800.33;"
"6/5/2021,3846.28;"
"5/5/2021,3831.35;"
"4/5/2021,3816.65;"
"3/5/2021,3740.14;"
"30/4/2021,3712.89;"
"30/4/2021,3712.89;"
"29/4/2021,3699.74;"
"28/4/2021,3717.46;"
"27/4/2021,3659.62;"
"26/4/2021,3640.07;"
"26/4/2021,3640.07;"
"23/4/2021,3630.81;"
"22/4/2021,3639.12;"
"21/4/2021,3636.26;"
"20/4/2021,3606.42;"
"19/4/2021,3595.57;"
"16/4/2021,3620.4;"
"15/4/2021,3665.49;"
"14/4/2021,3666.17;"
"13/4/2021,3653.57;"
"12/4/2021,3650.23;"
"9/4/2021,3634.07;"
"8/4/2021,3639.62;"
"7/4/2021,3645.14;"
"6/4/2021,3645.79;"
"5/4/2021,3678.62;"
"31/3/2021,3736.91;"
"30/3/2021,3705.85;"
"29/3/2021,3665.41;"
"26/3/2021,3658.22;"
"25/3/2021,3635.12;"
"24/3/2021,3589.82;"
"23/3/2021,3553.34;"
"19/3/2021,3569.45;"
"18/3/2021,3578.02;"
"17/3/2021,3553.51;"
"16/3/2021,3575.63;"
"15/3/2021,3575.3;"
"12/3/2021,3534.62;"
"11/3/2021,3561.91;"
"10/3/2021,3598.77;"
"9/3/2021,3623.61;"
"8/3/2021,3640.2;"
"5/3/2021,3647.99;"
"4/3/2021,3676.94;"
"3/3/2021,3646.61;"
"2/3/2021,3622.36;"
"1/3/2021,3624.39;"
"26/2/2021,3588.23;"
"25/2/2021,3578.29;"
"24/2/2021,3590.37;"
"23/2/2021,3602.41;"
"22/2/2021,3555.4;"
"19/2/2021,3537.86;"
"18/2/2021,3545.84;"
"17/2/2021,3518.19;"
"16/2/2021,3515.65;"
"12/2/2021,3525.45;"
"11/2/2021,3557.16;"
"10/2/2021,3583.23;"
"9/2/2021,3554.65;"
"8/2/2021,3543.28;"
"5/2/2021,3558.63;"
"4/2/2021,3522.57;"
"3/2/2021,3534.99;"
"2/2/2021,3561.37;"
"2/2/2021,3561.37;"
"1/2/2021,3559.46;"
"29/1/2021,3585.44;"
"28/1/2021,3636.91;"
"27/1/2021,3591.48;"
"26/1/2021,3582.41;"
"25/1/2021,3525.25;"
"25/1/2021,3525.25;"
"22/1/2021,3477.48;"
"21/1/2021,3476.19;"
"20/1/2021,3482.03;"
"19/1/2021,3466.8;"
"15/1/2021,3469.76;"
"14/1/2021,3478.36;"
"13/1/2021,3487.65;"
"12/1/2021,3478.11;"
"8/1/2021,3459.39;"
"7/1/2021,3428.04;"
"6/1/2021,3450.74;"
"5/1/2021,3420.78;"
"4/1/2021,3432.5;"
"30/12/2020,3482.1;"
"29/12/2020,3495.39;"
"28/12/2020,3493.77;"
"24/12/2020,3482.51;"
"23/12/2020,3444.9;"
"22/12/2020,3442.41;"
"21/12/2020,3420.26;"
"18/12/2020,3410.82;"
"17/12/2020,3416.21;"
"16/12/2020,3422.44;"
"15/12/2020,3426.97;"
"14/12/2020,3433.45;"
"11/12/2020,3448.89;"
"10/12/2020,3465.76;"
"9/12/2020,3487.65;"
"7/12/2020,3467.49;"
"4/12/2020,3481.44;"
"3/12/2020,3533.21;"
"2/12/2020,3558.57;"
"1/12/2020,3591.84;"
"30/11/2020,3611.44;"
"27/11/2020,3620.39;"
"25/11/2020,3643.24;"
"24/11/2020,3632.92;"
"23/11/2020,3649.9;"
"20/11/2020,3647.1;"
"19/11/2020,3647.73;"
"18/11/2020,3635.19;"
"17/11/2020,3639.95;"
"13/11/2020,3646.22;"
"12/11/2020,3650.5;"
"10/11/2020,3646.15;"
"9/11/2020,3738.19;"
"6/11/2020,3763.82;"
"5/11/2020,3807.13;"
"4/11/2020,3823.45;"
"3/11/2020,3858.56;"
"30/10/2020,3849.53;"
"29/10/2020,3841.46;"
"28/10/2020,3810.23;"
"27/10/2020,3812.82;"
"26/10/2020,3782.66;"
"23/10/2020,3776.73;"
"22/10/2020,3784.51;"
"21/10/2020,3830.79;"
"20/10/2020,3842.76;"
"19/10/2020,3846.48;"
"16/10/2020,3854.47;"
"15/10/2020,3843.59;"
"14/10/2020,3856.32;"
"13/10/2020,3824.25;"
"9/10/2020,3839.73;"
"8/10/2020,3837.79;"
"7/10/2020,3826.77;"
"6/10/2020,3843.75;"
"5/10/2020,3881.8;"
"2/10/2020,3842.34;"
"1/10/2020,3865.47;"
"30/9/2020,3878.94;"
"29/9/2020,3859.9;"
"28/9/2020,3867.81;"
"25/9/2020,3873.8;"
"24/9/2020,3863.6;"
"23/9/2020,3813.3;"
"22/9/2020,3790.54;"
"21/9/2020,3725.37;"
"18/9/2020,3714.65;"
"17/9/2020,3703.86;"
"16/9/2020,3683.49;"
"15/9/2020,3697;"
"14/9/2020,3709;"
"11/9/2020,3700.28;"
"10/9/2020,3717.25;"
"9/9/2020,3757.21;"
"8/9/2020,3702.62;"
"4/9/2020,3653.23;"
"3/9/2020,3653.7;"
"2/9/2020,3683.28;"
"1/9/2020,3745.41;"
"31/8/2020,3760.38;"
"28/8/2020,3820.17;"
"27/8/2020,3846.64;"
"26/8/2020,3867.32;"
"25/8/2020,3843.69;"
"24/8/2020,3827.27;"
"21/8/2020,3792.13;"
"20/8/2020,3766.73;"
"19/8/2020,3784.15;"
"18/8/2020,3783.15;"
"14/8/2020,3767.05;"
"13/8/2020,3755.61;"
